device,device_id,site_id,time,pm2_5_value,pm2_5_calibratedValue,pm10_value,pm10_calibratedValue,frequency,no2_value,no2_calibratedValue,deviceDetails__id,deviceDetails_mobility,deviceDetails_device_codes_0,deviceDetails_device_codes_1,deviceDetails_device_codes_2,deviceDetails_status,deviceDetails_isPrimaryInLocation,deviceDetails_category,deviceDetails_network,deviceDetails_name,deviceDetails___v,deviceDetails_alias,deviceDetails_approximate_distance_in_km,deviceDetails_bearing_in_radians,deviceDetails_latitude,deviceDetails_longitude
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T17:00:00.000Z,17.774300000000082,17.774300000000082,16.70609548200247,16.70609548200247,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T16:00:00.000Z,16.513700000000053,16.513700000000053,15.786967914546649,15.786967914546649,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T15:00:00.000Z,17.55840000000002,17.55840000000002,17.892232074651574,17.892232074651574,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T14:00:00.000Z,18.478900000000053,18.478900000000053,19.72129233302965,19.72129233302965,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T13:00:00.000Z,16.401200000000035,16.401200000000035,16.74904327997994,16.74904327997994,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T12:00:00.000Z,18.316700000000065,18.316700000000065,20.36781225994998,20.36781225994998,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T11:00:00.000Z,19.058200000000024,19.058200000000024,17.509401645663452,17.509401645663452,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-21T10:00:00.000Z,17.677600000000087,17.677600000000087,16.040034636950004,16.040034636950004,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T19:00:00.000Z,14.76550000000009,14.76550000000009,9.21913423215323,9.21913423215323,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T18:00:00.000Z,16.360800000000065,16.360800000000065,10.484464680134398,10.484464680134398,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
